episode,condition,return_sum,length
0,clean,755.0,1039
1,clean,570.0,975
2,clean,540.0,947
3,clean,1080.0,1760
4,clean,880.0,1627
5,clean,600.0,939
6,clean,800.0,989
7,clean,600.0,982
8,clean,745.0,993
9,clean,1760.0,1705
10,clean,525.0,949
11,clean,750.0,1080
12,clean,1145.0,2036
13,clean,800.0,875
14,clean,1005.0,1048
15,clean,1260.0,1879
16,clean,545.0,1019
17,clean,575.0,884
18,clean,715.0,747
19,clean,570.0,959
20,clean,570.0,1098
21,clean,600.0,969
22,clean,605.0,872
23,clean,1145.0,1825
24,clean,1295.0,1664
25,clean,600.0,970
26,clean,575.0,1032
27,clean,600.0,838
28,clean,600.0,919
29,clean,805.0,841
0,random,545.0,870
1,random,525.0,1076
2,random,465.0,994
3,random,635.0,1062
4,random,550.0,1071
5,random,555.0,1121
6,random,420.0,807
7,random,725.0,1099
8,random,345.0,891
9,random,260.0,586
10,random,455.0,902
11,random,450.0,775
12,random,395.0,858
13,random,715.0,892
14,random,345.0,682
15,random,705.0,934
16,random,545.0,1148
17,random,555.0,924
18,random,285.0,803
19,random,980.0,1082
20,random,300.0,607
21,random,245.0,608
22,random,740.0,1137
23,random,600.0,1050
24,random,535.0,997
25,random,265.0,658
26,random,1345.0,1516
27,random,400.0,755
28,random,560.0,704
29,random,355.0,660
