episode,condition,return_sum,length
0,grey,605.0,1024
1,grey,600.0,1071
2,grey,575.0,914
3,grey,575.0,1034
4,grey,515.0,935
5,grey,1035.0,1567
6,grey,560.0,917
7,grey,555.0,921
8,grey,570.0,1118
9,grey,800.0,1162
0,sarfa_grey,35.0,291
1,sarfa_grey,20.0,271
2,sarfa_grey,110.0,464
3,sarfa_grey,95.0,289
4,sarfa_grey,55.0,314
5,sarfa_grey,45.0,290
6,sarfa_grey,85.0,376
7,sarfa_grey,80.0,402
8,sarfa_grey,100.0,358
9,sarfa_grey,15.0,246
0,mean,580.0,932
1,mean,550.0,778
2,mean,600.0,1088
3,mean,745.0,859
4,mean,1150.0,1967
5,mean,575.0,1015
6,mean,600.0,967
7,mean,1330.0,1758
8,mean,545.0,999
9,mean,605.0,950
0,zero,1100.0,1630
1,zero,575.0,958
2,zero,1275.0,1873
3,zero,745.0,1262
4,zero,605.0,1076
5,zero,540.0,835
6,zero,570.0,812
7,zero,1135.0,1529
8,zero,850.0,1089
9,zero,755.0,946
0,random,380.0,716
1,random,545.0,916
2,random,1250.0,1604
3,random,545.0,786
4,random,680.0,806
5,random,490.0,1082
6,random,365.0,800
7,random,640.0,971
8,random,610.0,1123
9,random,650.0,850
