episode,condition,return_sum,length
0,clean,545.0,724
1,clean,495.0,947
2,clean,545.0,659
3,clean,595.0,585
4,clean,545.0,990
5,clean,600.0,1064
6,clean,265.0,718
7,clean,470.0,745
8,clean,605.0,650
9,clean,640.0,792
10,clean,690.0,977
11,clean,770.0,876
12,clean,670.0,646
13,clean,865.0,1543
14,clean,365.0,683
15,clean,410.0,542
16,clean,360.0,598
17,clean,395.0,626
18,clean,515.0,785
19,clean,725.0,778
20,clean,210.0,391
21,clean,585.0,1061
22,clean,395.0,675
23,clean,800.0,907
24,clean,585.0,1069
25,clean,575.0,624
26,clean,740.0,1036
27,clean,735.0,1220
28,clean,745.0,1035
29,clean,600.0,916
0,random,445.0,914
1,random,745.0,792
2,random,320.0,730
3,random,335.0,721
4,random,275.0,617
5,random,415.0,846
6,random,320.0,649
7,random,140.0,466
8,random,200.0,491
9,random,480.0,797
10,random,350.0,855
11,random,210.0,429
12,random,615.0,731
13,random,260.0,733
14,random,375.0,623
15,random,365.0,762
16,random,400.0,730
17,random,165.0,378
18,random,595.0,818
19,random,155.0,379
20,random,290.0,729
21,random,265.0,801
22,random,575.0,799
23,random,375.0,654
24,random,400.0,780
25,random,570.0,962
26,random,275.0,701
27,random,435.0,1020
28,random,105.0,463
29,random,440.0,839
