episode,condition,return_sum,length
0,clean,600.0,784
1,clean,565.0,807
2,clean,905.0,1251
3,clean,680.0,735
4,clean,570.0,912
5,clean,805.0,1057
6,clean,410.0,708
7,clean,430.0,879
8,clean,475.0,715
9,clean,465.0,726
0,gray,305.0,637
1,gray,205.0,485
2,gray,260.0,782
3,gray,215.0,620
4,gray,355.0,759
5,gray,600.0,979
6,gray,695.0,1167
7,gray,595.0,869
8,gray,335.0,612
9,gray,240.0,606
0,sarfa_gray,285.0,656
1,sarfa_gray,65.0,326
2,sarfa_gray,50.0,320
3,sarfa_gray,310.0,877
4,sarfa_gray,70.0,366
5,sarfa_gray,20.0,253
6,sarfa_gray,65.0,403
7,sarfa_gray,155.0,541
8,sarfa_gray,130.0,479
9,sarfa_gray,160.0,583
0,mean,445.0,826
1,mean,470.0,635
2,mean,500.0,908
3,mean,605.0,750
4,mean,590.0,596
5,mean,400.0,850
6,mean,600.0,860
7,mean,355.0,634
8,mean,605.0,579
9,mean,350.0,620
0,zero,470.0,633
1,zero,500.0,961
2,zero,495.0,948
3,zero,490.0,805
4,zero,565.0,613
5,zero,370.0,618
6,zero,600.0,1118
7,zero,570.0,826
8,zero,595.0,591
9,zero,215.0,558
0,random,665.0,917
1,random,435.0,741
2,random,630.0,1163
3,random,320.0,595
4,random,135.0,341
5,random,310.0,670
6,random,125.0,515
7,random,715.0,1058
8,random,355.0,715
9,random,390.0,716
