episode,condition,return_sum,length
0,grey,90.0,399
1,grey,200.0,579
2,grey,290.0,680
3,grey,215.0,596
4,grey,315.0,775
5,grey,490.0,675
6,grey,155.0,511
7,grey,515.0,776
8,grey,185.0,419
9,grey,465.0,595
0,sarfa_grey,265.0,625
1,sarfa_grey,140.0,518
2,sarfa_grey,110.0,477
3,sarfa_grey,135.0,494
4,sarfa_grey,185.0,712
5,sarfa_grey,80.0,340
6,sarfa_grey,365.0,795
7,sarfa_grey,120.0,503
8,sarfa_grey,130.0,519
9,sarfa_grey,255.0,629
0,mean,245.0,648
1,mean,250.0,718
2,mean,455.0,759
3,mean,245.0,838
4,mean,430.0,974
5,mean,320.0,724
6,mean,495.0,648
7,mean,470.0,740
8,mean,720.0,1116
9,mean,385.0,830
0,zero,330.0,981
1,zero,175.0,539
2,zero,335.0,870
3,zero,240.0,659
4,zero,200.0,473
5,zero,180.0,548
6,zero,160.0,498
7,zero,410.0,617
8,zero,415.0,904
9,zero,410.0,943
0,random,135.0,470
1,random,415.0,655
2,random,110.0,464
3,random,120.0,483
4,random,270.0,519
5,random,435.0,958
6,random,250.0,780
7,random,215.0,652
8,random,180.0,547
9,random,635.0,894
