env_step,episode,episodic_return,avg_return_100,epsilon,td_loss
164,0,50.0,50.0,0.9998524,None
330,1,20.0,35.0,0.999703,None
642,2,115.0,61.666666666666664,0.9994222,None
879,3,45.0,57.5,0.9992089,None
979,4,5.0,47.0,0.9991189,None
1136,5,15.0,41.666666666666664,0.9989776,None
1458,6,110.0,51.42857142857143,0.9986878,None
1621,7,35.0,49.375,0.9985411,None
1857,8,105.0,55.55555555555556,0.9983287,None
2022,9,75.0,57.5,0.9981802,None
2299,10,30.0,55.0,0.9979309,None
2474,11,40.0,53.75,0.9977734,None
2656,12,20.0,51.15384615384615,0.9976096,None
2934,13,75.0,52.857142857142854,0.9973594,None
3108,14,40.0,52.0,0.9972028,None
3382,15,45.0,51.5625,0.9969562,None
3651,16,130.0,56.1764705882353,0.9967141,None
3794,17,30.0,54.72222222222222,0.9965854,None
4013,18,80.0,56.05263157894737,0.9963883,None
4187,19,35.0,55.0,0.9962317,None
4324,20,5.0,52.61904761904762,0.9961084,None
4545,21,85.0,54.09090909090909,0.9959095,None
4734,22,35.0,53.26086956521739,0.9957394,None
4965,23,15.0,51.666666666666664,0.9955315,None
5189,24,50.0,51.6,0.9953299,None
5352,25,40.0,51.15384615384615,0.9951832,None
5578,26,50.0,51.111111111111114,0.9949798,None
5826,27,110.0,53.214285714285715,0.9947566,None
6008,28,30.0,52.41379310344828,0.9945928,None
6469,29,160.0,56.0,0.9941779,None
6630,30,30.0,55.16129032258065,0.9940329999999999,None
6819,31,40.0,54.6875,0.9938629,None
6963,32,35.0,54.09090909090909,0.9937333,None
7147,33,55.0,54.11764705882353,0.9935677,None
7373,34,30.0,53.42857142857143,0.9933643,None
7524,35,20.0,52.5,0.9932284,None
7663,36,15.0,51.486486486486484,0.9931033,None
7807,37,0.0,50.13157894736842,0.9929737,None
8134,38,105.0,51.53846153846154,0.9926794,None
8277,39,25.0,50.875,0.9925507,None
8377,40,5.0,49.75609756097561,0.9924607,None
8525,41,15.0,48.92857142857143,0.9923275,None
8729,42,30.0,48.48837209302326,0.9921439,None
8904,43,35.0,48.18181818181818,0.9919864,None
9201,44,40.0,48.0,0.9917191,None
9347,45,15.0,47.28260869565217,0.9915877,None
9591,46,35.0,47.02127659574468,0.9913681,None
9854,47,60.0,47.291666666666664,0.9911314,None
10053,48,50.0,47.3469387755102,0.9909523,None
10429,49,105.0,48.5,0.9906139,None
10672,50,55.0,48.627450980392155,0.9903952,None
10822,51,50.0,48.65384615384615,0.9902602,None
10914,52,5.0,47.83018867924528,0.9901774,None
11073,53,15.0,47.22222222222222,0.9900343,None
11276,54,125.0,48.63636363636363,0.9898516,None
11423,55,15.0,48.035714285714285,0.9897193,None
11560,56,30.0,47.719298245614034,0.989596,None
11836,57,75.0,48.189655172413794,0.9893476,None
11985,58,5.0,47.45762711864407,0.9892135,None
12131,59,50.0,47.5,0.9890821,None
12331,60,100.0,48.36065573770492,0.9889021,None
12554,61,120.0,49.516129032258064,0.9887014,None
12699,62,50.0,49.523809523809526,0.9885709,None
12846,63,55.0,49.609375,0.9884386000000001,None
13006,64,30.0,49.30769230769231,0.9882946,None
13158,65,75.0,49.696969696969695,0.9881578,None
13336,66,15.0,49.17910447761194,0.9879976,None
13495,67,65.0,49.411764705882355,0.9878545,None
13640,68,30.0,49.130434782608695,0.987724,None
13809,69,50.0,49.142857142857146,0.9875719,None
14096,70,55.0,49.225352112676056,0.9873136,None
14422,71,180.0,51.041666666666664,0.9870202,None
14659,72,50.0,51.02739726027397,0.9868069,None
14822,73,40.0,50.87837837837838,0.9866602,None
15032,74,50.0,50.86666666666667,0.9864712,None
15181,75,0.0,50.19736842105263,0.9863371,None
15385,76,60.0,50.324675324675326,0.9861535,None
15532,77,35.0,50.12820512820513,0.9860212,None
15694,78,50.0,50.12658227848101,0.9858754,None
15883,79,50.0,50.125,0.9857053,None
15968,80,0.0,49.50617283950617,0.9856288,None
16050,81,0.0,48.90243902439025,0.985555,None
16199,82,50.0,48.91566265060241,0.9854209,None
16598,83,355.0,52.55952380952381,0.9850618,None
16786,84,20.0,52.1764705882353,0.9848926,None
16933,85,15.0,51.74418604651163,0.9847603,None
17173,86,50.0,51.724137931034484,0.9845443,None
17324,87,15.0,51.30681818181818,0.9844084,None
17479,88,5.0,50.78651685393258,0.9842689,None
17631,89,30.0,50.55555555555556,0.9841321,None
18071,90,155.0,51.7032967032967,0.9837361,None
18224,91,25.0,51.41304347826087,0.9835984,None
18425,92,50.0,51.39784946236559,0.9834175,None
18617,93,50.0,51.38297872340426,0.9832447,None
18820,94,55.0,51.421052631578945,0.983062,None
19029,95,15.0,51.041666666666664,0.9828739,None
19189,96,75.0,51.28865979381443,0.9827299,None
19375,97,10.0,50.86734693877551,0.9825625,None
19554,98,30.0,50.656565656565654,0.9824014,None
19643,99,0.0,50.15,0.9823213,None
19958,100,55.0,50.2,0.9820378,None
20120,101,50.0,50.5,0.981892,None
20285,102,5.0,49.4,0.9817435,None
20427,103,20.0,49.15,0.9816157,None
20606,104,15.0,49.25,0.9814546,None
20880,105,45.0,49.55,0.981208,None
21187,106,20.0,48.65,0.9809317,None
21420,107,65.0,48.95,0.980722,None
21637,108,45.0,48.35,0.9805267,None
21731,109,0.0,47.6,0.9804421,None
21953,110,50.0,47.8,0.9802423,None
22098,111,15.0,47.55,0.9801118,None
22317,112,60.0,47.95,0.9799147,None
22456,113,5.0,47.25,0.9797896,None
22620,114,65.0,47.5,0.979642,None
22795,115,30.0,47.35,0.9794845,None
22946,116,15.0,46.2,0.9793486,None
23121,117,5.0,45.95,0.9791911,None
23609,118,410.0,49.25,0.9787519,None
23734,119,5.0,48.95,0.9786394,None
24043,120,75.0,49.65,0.9783613,None
24205,121,15.0,48.95,0.9782155,None
24304,122,0.0,48.6,0.9781264,None
24561,123,15.0,48.6,0.9778951,None
24711,124,30.0,48.4,0.9777601,None
24861,125,30.0,48.3,0.9776251,None
25159,126,135.0,49.15,0.9773569,None
25335,127,5.0,48.1,0.9771985,None
25473,128,20.0,48.0,0.9770743,None
25629,129,80.0,47.2,0.9769339,None
25933,130,50.0,47.4,0.9766603,None
26033,131,0.0,47.0,0.9765703,None
26120,132,5.0,46.7,0.976492,None
26266,133,75.0,46.9,0.9763606,None
26507,134,75.0,47.35,0.9761437,None
26682,135,15.0,47.3,0.9759862,None
26873,136,45.0,47.6,0.9758143,None
27017,137,55.0,48.15,0.9756847,None
27169,138,20.0,47.3,0.9755479,None
27318,139,30.0,47.35,0.9754138,None
27516,140,30.0,47.6,0.9752356,None
27714,141,105.0,48.5,0.9750574,None
27938,142,30.0,48.5,0.9748558,None
28088,143,45.0,48.6,0.9747208,None
28173,144,5.0,48.25,0.9746443,None
28449,145,55.0,48.65,0.9743959,None
28651,146,75.0,49.05,0.9742141,None
28801,147,55.0,49.0,0.9740791,None
28932,148,0.0,48.5,0.9739612,None
29081,149,35.0,47.8,0.9738271000000001,None
29260,150,30.0,47.55,0.973666,None
29404,151,30.0,47.35,0.9735364,None
29598,152,75.0,48.05,0.9733617999999999,None
29968,153,180.0,49.7,0.9730288,None
30201,154,50.0,48.95,0.9728191,None
30575,155,170.0,50.5,0.9724825,None
30786,156,35.0,50.55,0.9722926,None
31004,157,55.0,50.35,0.9720964,None
31153,158,20.0,50.5,0.9719623,None
31328,159,5.0,50.05,0.9718048,None
31518,160,20.0,49.25,0.9716338,None
31670,161,15.0,48.2,0.971497,None
31975,162,160.0,49.3,0.9712225,None
32124,163,30.0,49.05,0.9710884,None
32275,164,50.0,49.25,0.9709525,None
32436,165,55.0,49.05,0.9708076,None
32642,166,75.0,49.65,0.9706222,None
32802,167,75.0,49.75,0.9704782,None
33242,168,190.0,51.35,0.9700822,None
33398,169,30.0,51.15,0.9699418,None
33553,170,30.0,50.9,0.9698023,None
33681,171,10.0,49.2,0.9696871,None
33848,172,15.0,48.85,0.9695368,None
34027,173,75.0,49.2,0.9693757,None
34194,174,55.0,49.25,0.9692254,None
34380,175,50.0,49.75,0.969058,None
34468,176,0.0,49.15,0.9689788,None
34622,177,45.0,49.25,0.9688402,None
34803,178,15.0,48.9,0.9686773,None
35011,179,55.0,48.95,0.9684901,None
35304,180,60.0,49.55,0.9682264,None
35452,181,40.0,49.95,0.9680932,None
35688,182,80.0,50.25,0.9678808,None
35995,183,130.0,48.0,0.9676045,None
36156,184,60.0,48.4,0.9674596,None
36307,185,50.0,48.75,0.9673237,None
36458,186,30.0,48.55,0.9671878,None
36714,187,60.0,49.0,0.9669574,None
36886,188,60.0,49.55,0.9668026,None
37021,189,20.0,49.45,0.9666811,None
37196,190,100.0,48.9,0.9665236,None
37358,191,5.0,48.7,0.9663778,None
37545,192,30.0,48.5,0.9662094999999999,None
37700,193,30.0,48.3,0.96607,None
37850,194,75.0,48.5,0.965935,None
38009,195,20.0,48.55,0.9657919,None
38176,196,20.0,48.0,0.9656416,None
38335,197,45.0,48.35,0.9654985,None
38501,198,15.0,48.2,0.9653491,None
38662,199,20.0,48.4,0.9652042,None
38833,200,30.0,48.15,0.9650503,None
39080,201,45.0,48.1,0.964828,None
39248,202,75.0,48.8,0.9646768,None
39404,203,30.0,48.9,0.9645364,None
39608,204,30.0,49.05,0.9643528,None
39764,205,50.0,49.1,0.9642124,None
39939,206,5.0,48.95,0.9640549,None
40078,207,15.0,48.45,0.9639298,None
40235,208,10.0,48.1,0.9637885,None
40436,209,30.0,48.4,0.9636076,None
40582,210,15.0,48.05,0.9634762,None
40845,211,65.0,48.55,0.9632395,None
41024,212,65.0,48.6,0.9630784,None
41641,213,370.0,52.25,0.9625231,None
41730,214,5.0,51.65,0.9624429999999999,None
42101,215,190.0,53.25,0.9621091,None
42269,216,75.0,53.85,0.9619579,None
42452,217,85.0,54.65,0.9617932,None
42743,218,120.0,51.75,0.9615313,None
42918,219,30.0,52.0,0.9613738000000001,None
43281,220,110.0,52.35,0.9610471,None
43428,221,30.0,52.5,0.9609148,None
43522,222,0.0,52.5,0.9608302,None
43637,223,30.0,52.65,0.9607267,None
43778,224,15.0,52.5,0.9605998,None
44065,225,95.0,53.15,0.9603415,None
44246,226,60.0,52.4,0.9601786,None
44403,227,30.0,52.65,0.9600373,None
44563,228,65.0,53.1,0.9598933,None
44645,229,0.0,52.3,0.9598195,None
44794,230,15.0,51.95,0.9596854,None
45172,231,70.0,52.65,0.9593452,None
45322,232,80.0,53.4,0.9592102,None
45460,233,15.0,52.8,0.959086,None
45605,234,5.0,52.1,0.9589555,None
46013,235,280.0,54.75,0.9585883,None
46147,236,35.0,54.65,0.9584677,None
46324,237,35.0,54.45,0.9583084,None
46473,238,75.0,55.0,0.9581743,None
46621,239,10.0,54.8,0.9580411,None
46995,240,90.0,55.4,0.9577045,None
47150,241,20.0,54.55,0.957565,None
47517,242,170.0,55.95,0.9572347,None
47807,243,35.0,55.85,0.9569737,None
48112,244,120.0,57.0,0.9566992,None
48199,245,5.0,56.5,0.9566209,None
48534,246,250.0,58.25,0.9563194,None
48673,247,10.0,57.8,0.9561942999999999,None
48785,248,0.0,57.8,0.9560935,None
48950,249,55.0,58.0,0.955945,None
49096,250,15.0,57.85,0.9558136,None
49296,251,105.0,58.6,0.9556336,None
49472,252,30.0,58.15,0.9554752,None
49755,253,55.0,56.9,0.9552205,None
49923,254,50.0,56.9,0.9550693,None
50326,255,80.0,56.0,0.9547066,None
50522,256,50.0,56.15,0.9545302,None
50774,257,120.0,56.8,0.9543034,None
50975,258,90.0,57.5,0.9541225,None
51144,259,0.0,57.45,0.9539704,0.296677827835083
51349,260,55.0,57.8,0.9537859,None
51495,261,25.0,57.9,0.9536545,None
51650,262,15.0,56.45,0.953515,None
51869,263,70.0,56.85,0.9533179,None
51958,264,0.0,56.35,0.9532378,None
52127,265,5.0,55.85,0.9530857,None
52362,266,75.0,55.85,0.9528742,None
52529,267,15.0,55.25,0.9527239,None
52691,268,15.0,53.5,0.9525781,None
52784,269,0.0,53.2,0.9524944,0.2970409691333771
52873,270,5.0,52.95,0.9524143,None
53010,271,15.0,53.0,0.952291,None
53225,272,105.0,53.9,0.9520975,None
53349,273,5.0,53.2,0.9519858999999999,None
53500,274,5.0,52.7,0.95185,0.0004761525196954608
53653,275,30.0,52.5,0.9517123,None
53799,276,30.0,52.8,0.9515809,None
54096,277,120.0,53.55,0.9513136,7.48057063901797e-05
54250,278,15.0,53.55,0.951175,None
54418,279,75.0,53.75,0.9510238,None
54606,280,35.0,53.5,0.9508546,None
54758,281,30.0,53.4,0.9507178,None
55024,282,90.0,53.5,0.9504784,0.9064583778381348
55185,283,15.0,52.35,0.9503334999999999,None
55361,284,5.0,51.8,0.9501751,None
55742,285,105.0,52.35,0.9498322,None
56050,286,110.0,53.15,0.949555,None
56555,287,285.0,55.4,0.9491005,None
56691,288,5.0,54.85,0.9489781,None
56897,289,20.0,54.85,0.9487927,None
57072,290,0.0,53.85,0.9486352,0.5926296710968018
57241,291,20.0,54.0,0.9484831,None
57398,292,5.0,53.75,0.9483418,None
57548,293,50.0,53.95,0.9482068,0.14051440358161926
57701,294,50.0,53.7,0.9480691,None
57863,295,30.0,53.8,0.9479233,None
57971,296,0.0,53.6,0.9478261,None
58110,297,5.0,53.2,0.947701,None
58300,298,20.0,53.25,0.94753,0.14082440733909607
58590,299,75.0,53.8,0.947269,None
58816,300,45.0,53.95,0.9470656,0.0022312882356345654
59032,301,60.0,54.1,0.9468712,0.0010088052367791533
59179,302,15.0,53.5,0.9467388999999999,None
59267,303,15.0,53.35,0.9466597,None
59447,304,65.0,53.7,0.9464977,None
59619,305,40.0,53.6,0.9463429,None
59764,306,15.0,53.7,0.9462124,1.059929609298706
59936,307,30.0,53.85,0.9460576,0.1402863711118698
60044,308,15.0,53.9,0.9459604,7.032526627881452e-05
60196,309,5.0,53.65,0.9458236,1.0622518062591553
60405,310,105.0,54.55,0.9456355,None
60625,311,95.0,54.85,0.9454375,None
60770,312,5.0,54.25,0.945307,None
60914,313,30.0,50.85,0.9451774,None
61123,314,55.0,51.35,0.9449893,None
61278,315,20.0,49.65,0.9448498,None
61462,316,30.0,49.2,0.9446842,None
61622,317,30.0,48.65,0.9445402,None
61784,318,75.0,48.2,0.9443944,0.14018204808235168
62059,319,35.0,48.25,0.9441469,None
62208,320,30.0,47.45,0.9440128,0.1400166004896164
62500,321,80.0,47.95,0.94375,0.00022782629821449518
62713,322,10.0,48.05,0.9435583,None
62923,323,10.0,47.85,0.9433693,None
63132,324,15.0,47.85,0.9431812,0.00023757842427585274
63349,325,55.0,47.45,0.9429859,None
63500,326,20.0,47.05,0.94285,0.00024826807202771306
63686,327,20.0,46.95,0.9426826,None
63825,328,30.0,46.6,0.9425574999999999,None
63975,329,30.0,46.9,0.9424224999999999,None
64084,330,20.0,46.95,0.9423244,0.00039426732109859586
64234,331,50.0,46.75,0.9421894,None
64413,332,65.0,46.6,0.9420283,None
64553,333,15.0,46.6,0.9419023,None
64651,334,0.0,46.55,0.9418141,None
64806,335,75.0,44.5,0.9416746,None
64951,336,30.0,44.45,0.9415441,None
65143,337,55.0,44.65,0.9413713,None
65292,338,50.0,44.4,0.9412372,0.29614120721817017
65465,339,20.0,44.5,0.9410815,None
65654,340,45.0,44.05,0.9409114,None
65950,341,60.0,44.45,0.940645,None
66167,342,80.0,43.55,0.9404496999999999,None
66269,343,0.0,43.2,0.9403579,None
66640,344,110.0,43.1,0.940024,0.45266592502593994
66865,345,75.0,43.8,0.9398215,None
66979,346,0.0,41.3,0.9397189,None
67309,347,10.0,41.3,0.9394219,None
67566,348,30.0,41.6,0.9391906,None
67762,349,35.0,41.4,0.9390142,None
68072,350,280.0,44.05,0.9387352,0.0005630451487377286
68370,351,120.0,44.2,0.9384669999999999,None
68524,352,70.0,44.6,0.9383284,0.7657374143600464
68699,353,30.0,44.35,0.9381709,None
68844,354,5.0,43.9,0.9380404,0.0005496970261447132
69238,355,120.0,44.3,0.9376858,None
69427,356,105.0,44.85,0.9375157,None
69537,357,0.0,43.65,0.9374167,None
69742,358,90.0,43.65,0.9372322,None
69904,359,30.0,43.95,0.9370864,0.5916608572006226
70110,360,50.0,43.9,0.936901,None
70331,361,90.0,44.55,0.9367021,None
70760,362,95.0,45.35,0.936316,0.000810085388366133
70986,363,80.0,45.45,0.9361126,None
71181,364,50.0,45.95,0.9359371,None
71391,365,105.0,46.95,0.9357481,None
71598,366,55.0,46.75,0.9355618,None
71897,367,45.0,47.05,0.9352927,None
72185,368,105.0,47.95,0.9350335,None
72377,369,30.0,48.25,0.9348607,None
72542,370,30.0,48.5,0.9347122,None
72737,371,20.0,48.55,0.9345367,None
73238,372,355.0,51.05,0.9340858,None
73324,373,5.0,51.05,0.9340084,0.14008140563964844
73517,374,120.0,52.2,0.9338347,None
73675,375,10.0,52.0,0.9336925,None
73836,376,50.0,52.2,0.9335476,0.14106178283691406
73992,377,5.0,51.05,0.9334072,0.29611852765083313
74174,378,50.0,51.4,0.9332434000000001,None
74553,379,90.0,51.55,0.9329023,None
74847,380,75.0,51.95,0.9326377,None
75047,381,20.0,51.85,0.9324577000000001,None
75319,382,5.0,51.0,0.9322129,None
75473,383,45.0,51.3,0.9320743,None
75596,384,20.0,51.45,0.9319636,9.161492198472843e-05
75688,385,15.0,50.55,0.9318808,0.0009727482683956623
