env_step,episode,ep_len,episodic_return,avg_return_100,actor_loss_ep_mean,critic_loss_ep_mean,entropy_ep_mean,total_loss_ep_mean,updates_in_episode
3,1,500,85.0,85.0,,,,,0
8,2,598,230.0,157.5,,,,,0
13,3,624,440.0,251.66666666666666,,,,,0
16,4,393,80.0,208.75,,,,,0
22,5,723,485.0,264.0,,,,,0
27,6,642,210.0,255.0,,,,,0
31,7,599,390.0,274.2857142857143,,,,,0
36,8,547,125.0,255.625,,,,,0
39,9,379,110.0,239.44444444444446,,,,,0
44,10,677,80.0,223.5,,,,,0
48,11,537,200.0,221.36363636363637,,,,,0
58,12,1246,975.0,284.1666666666667,,,,,0
64,13,848,220.0,279.2307692307692,,,,,0
68,14,498,215.0,274.64285714285717,,,,,0
73,15,591,290.0,275.6666666666667,,,,,0
77,16,524,300.0,277.1875,,,,,0
81,17,539,280.0,277.3529411764706,,,,,0
86,18,544,290.0,278.05555555555554,,,,,0
90,19,537,280.0,278.1578947368421,,,,,0
94,20,538,270.0,277.75,,,,,0
98,21,504,275.0,277.6190476190476,,,,,0
