env_step,episode,ep_len,episodic_return,avg_return_100
1440,0,91,1.0,1.0
1632,1,103,0.0,0.5
2224,2,140,3.0,1.3333334
2336,3,147,3.0,1.75
2512,4,158,2.0,1.8
2608,5,164,3.0,2.0
3056,6,192,4.0,2.2857144
3792,7,238,4.0,2.5
2064,8,155,2.0,2.4444444
2320,9,110,0.0,2.2
2336,10,117,0.0,2.0
2672,11,149,4.0,2.1666667
3024,12,227,7.0,2.5384614
3344,13,100,0.0,2.357143
4064,14,243,4.0,2.4666667
4960,15,143,1.0,2.375
5296,16,185,3.0,2.4117646
5408,17,209,3.0,2.4444444
5632,18,143,1.0,2.368421
5920,19,181,7.0,2.6
4224,20,138,4.0,2.6666667
5104,21,302,14.0,3.1818182
5280,22,148,1.0,3.0869565
6080,23,138,3.0,3.0833333
6496,24,196,2.0,3.04
6528,25,184,3.0,3.0384614
6992,26,107,1.0,2.9629629
7008,27,503,11.0,3.25
7840,28,171,2.0,3.2068965
6400,29,264,5.0,3.2666667
6656,30,164,4.0,3.2903225
6736,31,141,2.0,3.25
7184,32,139,3.0,3.2424242
7264,33,145,0.0,3.1470587
7344,34,384,7.0,3.2571428
8304,35,98,0.0,3.1666667
8448,36,79,0.0,3.0810812
9008,37,163,2.0,3.0526316
9088,38,290,7.0,3.1538463
9264,39,217,6.0,3.225
9936,40,162,4.0,3.2439024
9952,41,168,6.0,3.3095238
8528,42,93,0.0,3.2325583
9296,43,181,6.0,3.2954545
9552,44,206,3.0,3.288889
9568,45,163,2.0,3.2608695
10032,46,339,10.0,3.4042554
10640,47,171,3.0,3.3958333
10656,48,133,3.0,3.3877552
10672,49,174,0.0,3.32
11952,50,149,3.0,3.3137255
10256,51,172,5.0,3.3461537
10800,52,176,3.0,3.3396227
11616,53,189,3.0,3.3333333
11728,54,92,1.0,3.290909
11824,55,201,9.0,3.392857
11936,56,293,10.0,3.508772
13120,57,281,8.0,3.586207
13344,58,101,2.0,3.559322
13792,59,187,4.0,3.5666666
14144,60,145,3.0,3.557377
13456,61,85,1.0,3.516129
13984,62,140,2.0,3.4920635
14240,63,695,24.0,3.8125
14448,64,305,12.0,3.9384615
15072,65,324,12.0,4.060606
15600,66,269,4.0,4.0597014
16048,67,113,1.0,4.0147057
16160,68,519,20.0,4.246377
14368,69,84,1.0,4.2
15200,70,175,3.0,4.183099
15216,71,387,11.0,4.2777777
16192,72,137,1.0,4.232877
17264,73,181,3.0,4.216216
17424,74,376,10.0,4.2933335
17536,75,214,4.0,4.2894735
17648,76,256,4.0,4.285714
17680,77,154,2.0,4.25641
16624,78,155,5.0,4.265823
16704,79,222,5.0,4.275
17760,80,149,4.0,4.271605
18112,81,155,5.0,4.280488
18256,82,166,1.0,4.240964
18368,83,197,3.0,4.2261906
18496,84,188,4.0,4.2235293
18832,85,133,2.0,4.1976743
19008,86,149,4.0,4.195402
19952,87,137,3.0,4.181818
18464,88,105,1.0,4.1460676
18512,89,667,28.0,4.411111
18704,90,141,3.0,4.3956046
19056,91,171,5.0,4.402174
19184,92,80,1.0,4.3655915
20176,93,92,0.0,4.319149
21376,94,179,6.0,4.336842
21584,95,150,1.0,4.3020835
21696,96,165,2.0,4.2783504
21984,97,361,9.0,4.3265305
22064,98,375,6.0,4.3434343
20816,99,80,0.0,4.3
20864,100,171,4.0,4.33
20896,101,280,8.0,4.41
22112,102,174,6.0,4.44
22304,103,93,0.0,4.41
23504,104,163,4.0,4.43
24080,105,277,7.0,4.47
24416,106,280,8.0,4.51
22672,107,151,4.0,4.51
22752,108,299,8.0,4.57
23200,109,109,0.0,4.57
23296,110,280,7.0,4.64
23424,111,660,23.0,4.83
23712,112,105,1.0,4.77
23808,113,234,9.0,4.86
24544,114,84,1.0,4.83
24832,115,88,1.0,4.83
25616,116,113,1.0,4.81
25664,117,122,3.0,4.81
25904,118,85,1.0,4.81
26512,119,201,5.0,4.79
24624,120,245,6.0,4.81
24912,121,287,7.0,4.74
25040,122,141,3.0,4.76
25456,123,302,9.0,4.82
25520,124,119,0.0,4.8
25936,125,148,4.0,4.81
26384,126,84,0.0,4.8
26496,127,165,4.0,4.73
26656,128,137,4.0,4.75
26752,129,81,0.0,4.7
27280,130,148,4.0,4.7
27536,131,100,1.0,4.69
28064,132,88,0.0,4.66
28080,133,160,5.0,4.71
28208,134,107,2.0,4.66
28624,135,250,6.0,4.72
28640,136,118,1.0,4.73
26800,137,154,5.0,4.76
27680,138,153,4.0,4.73
27888,139,81,0.0,4.67
