env_step,episode,ep_len,episodic_return,avg_return_100,q1_loss_ep_mean,q2_loss_ep_mean,actor_loss_ep_mean,alpha_ep_mean,updates_in_episode
145,1,145,4.0,4.0,,,,,0
308,2,163,5.0,4.5,,,,,0
591,3,283,4.0,4.333333333333333,,,,,0
889,4,298,5.0,4.5,,,,,0
1011,5,122,0.0,3.6,,,,,0
1161,6,150,2.0,3.3333333333333335,,,,,0
1315,7,154,3.0,3.2857142857142856,,,,,0
1512,8,197,3.0,3.25,,,,,0
1702,9,190,9.0,3.888888888888889,,,,,0
1940,10,238,5.0,4.0,,,,,0
2111,11,171,4.0,4.0,,,,,0
2472,12,361,9.0,4.416666666666667,,,,,0
2670,13,198,4.0,4.384615384615385,,,,,0
2888,14,218,2.0,4.214285714285714,,,,,0
3091,15,203,7.0,4.4,,,,,0
3480,16,389,10.0,4.75,,,,,0
3612,17,132,3.0,4.647058823529412,,,,,0
3845,18,233,4.0,4.611111111111111,,,,,0
3993,19,148,4.0,4.578947368421052,,,,,0
4256,20,263,7.0,4.7,,,,,0
4478,21,222,4.0,4.666666666666667,,,,,0
4592,22,114,1.0,4.5,,,,,0
4738,23,146,4.0,4.478260869565218,,,,,0
4889,24,151,3.0,4.416666666666667,,,,,0
5198,25,309,7.0,4.52,,,,,0
5289,26,91,0.0,4.346153846153846,,,,,0
5376,27,87,0.0,4.185185185185185,,,,,0
5599,28,223,6.0,4.25,,,,,0
5751,29,152,4.0,4.241379310344827,,,,,0
6006,30,255,7.0,4.333333333333333,,,,,0
6399,31,393,8.0,4.451612903225806,,,,,0
6571,32,172,4.0,4.4375,,,,,0
6974,33,403,9.0,4.575757575757576,,,,,0
7340,34,366,10.0,4.735294117647059,,,,,0
7523,35,183,6.0,4.771428571428571,,,,,0
7705,36,182,0.0,4.638888888888889,,,,,0
7850,37,145,1.0,4.54054054054054,,,,,0
8019,38,169,5.0,4.552631578947368,,,,,0
8173,39,154,2.0,4.487179487179487,,,,,0
8353,40,180,5.0,4.5,,,,,0
8549,41,196,5.0,4.512195121951219,,,,,0
8709,42,160,2.0,4.4523809523809526,,,,,0
9055,43,346,11.0,4.604651162790698,,,,,0
9211,44,156,2.0,4.545454545454546,,,,,0
9407,45,196,2.0,4.488888888888889,,,,,0
9566,46,159,3.0,4.456521739130435,,,,,0
9795,47,229,1.0,4.382978723404255,,,,,0
9941,48,146,4.0,4.375,,,,,0
10088,49,147,1.0,4.3061224489795915,,,,,0
10287,50,199,7.0,4.36,,,,,0
10539,51,252,6.0,4.392156862745098,,,,,0
10731,52,192,5.0,4.403846153846154,,,,,0
10945,53,214,1.0,4.339622641509434,,,,,0
11093,54,148,1.0,4.277777777777778,,,,,0
11251,55,158,4.0,4.2727272727272725,,,,,0
11361,56,110,0.0,4.196428571428571,,,,,0
11555,57,194,5.0,4.2105263157894735,,,,,0
11696,58,141,2.0,4.172413793103448,,,,,0
12034,59,338,8.0,4.237288135593221,,,,,0
12190,60,156,4.0,4.233333333333333,,,,,0
12386,61,196,8.0,4.295081967213115,,,,,0
12486,62,100,0.0,4.225806451612903,,,,,0
12620,63,134,1.0,4.174603174603175,,,,,0
12787,64,167,2.0,4.140625,,,,,0
12965,65,178,3.0,4.123076923076923,,,,,0
13260,66,295,5.0,4.136363636363637,,,,,0
13549,67,289,4.0,4.134328358208955,,,,,0
13765,68,216,6.0,4.161764705882353,,,,,0
13953,69,188,3.0,4.144927536231884,,,,,0
14115,70,162,4.0,4.142857142857143,,,,,0
14267,71,152,6.0,4.169014084507042,,,,,0
14416,72,149,3.0,4.152777777777778,,,,,0
14561,73,145,3.0,4.136986301369863,,,,,0
14724,74,163,4.0,4.135135135135135,,,,,0
14815,75,91,0.0,4.08,,,,,0
14962,76,147,3.0,4.065789473684211,,,,,0
15276,77,314,8.0,4.116883116883117,,,,,0
15474,78,198,5.0,4.128205128205129,,,,,0
15647,79,173,4.0,4.1265822784810124,,,,,0
15798,80,151,4.0,4.125,,,,,0
16024,81,226,5.0,4.135802469135802,,,,,0
16202,82,178,5.0,4.146341463414634,,,,,0
16371,83,169,3.0,4.132530120481928,,,,,0
16558,84,187,3.0,4.119047619047619,,,,,0
16705,85,147,0.0,4.070588235294117,,,,,0
16854,86,149,2.0,4.046511627906977,,,,,0
17033,87,179,6.0,4.068965517241379,,,,,0
17219,88,186,3.0,4.056818181818182,,,,,0
17399,89,180,4.0,4.056179775280899,,,,,0
17700,90,301,7.0,4.088888888888889,,,,,0
17847,91,147,0.0,4.043956043956044,,,,,0
17935,92,88,0.0,4.0,,,,,0
18091,93,156,4.0,4.0,,,,,0
18178,94,87,0.0,3.9574468085106385,,,,,0
18353,95,175,1.0,3.9263157894736844,,,,,0
18540,96,187,4.0,3.9270833333333335,,,,,0
18825,97,285,5.0,3.9381443298969074,,,,,0
19014,98,189,4.0,3.938775510204082,,,,,0
19214,99,200,3.0,3.9292929292929295,,,,,0
19421,100,207,7.0,3.96,,,,,0
19716,101,295,9.0,4.01,,,,,0
20071,102,355,7.0,4.03,,,,,0
20217,103,146,1.0,4.0,,,,,0
20464,104,247,4.0,3.99,,,,,0
20581,105,117,3.0,4.02,,,,,0
20800,106,219,4.0,4.04,,,,,0
21112,107,312,8.0,4.09,,,,,0
21297,108,185,7.0,4.13,,,,,0
21617,109,320,4.0,4.08,,,,,0
21758,110,141,1.0,4.04,,,,,0
21935,111,177,6.0,4.06,,,,,0
22103,112,168,3.0,4.0,,,,,0
22182,113,79,0.0,3.96,,,,,0
22456,114,274,10.0,4.04,,,,,0
22679,115,223,6.0,4.03,,,,,0
22937,116,258,5.0,3.98,,,,,0
23103,117,166,4.0,3.99,,,,,0
23273,118,170,5.0,4.0,,,,,0
23438,119,165,2.0,3.98,,,,,0
23621,120,183,6.0,3.97,,,,,0
23916,121,295,4.0,3.97,,,,,0
24069,122,153,2.0,3.98,,,,,0
24219,123,150,0.0,3.94,,,,,0
24381,124,162,6.0,3.97,,,,,0
24497,125,116,2.0,3.92,,,,,0
24657,126,160,4.0,3.96,,,,,0
24804,127,147,4.0,4.0,,,,,0
24947,128,143,2.0,3.96,,,,,0
25149,129,202,6.0,3.98,,,,,0
25288,130,139,1.0,3.92,,,,,0
25388,131,100,1.0,3.85,,,,,0
25716,132,328,7.0,3.88,,,,,0
26019,133,303,7.0,3.86,,,,,0
26171,134,152,3.0,3.79,,,,,0
26439,135,268,7.0,3.8,,,,,0
26589,136,150,3.0,3.83,,,,,0
26716,137,127,0.0,3.82,,,,,0
26864,138,148,3.0,3.8,,,,,0
27029,139,165,3.0,3.81,,,,,0
27175,140,146,1.0,3.77,,,,,0
27326,141,151,2.0,3.74,,,,,0
27574,142,248,6.0,3.78,,,,,0
27722,143,148,2.0,3.69,,,,,0
27907,144,185,0.0,3.67,,,,,0
28061,145,154,3.0,3.68,,,,,0
28206,146,145,6.0,3.71,,,,,0
28429,147,223,4.0,3.74,,,,,0
28512,148,83,0.0,3.7,,,,,0
28701,149,189,3.0,3.72,,,,,0
28789,150,88,0.0,3.65,,,,,0
28998,151,209,5.0,3.64,,,,,0
29078,152,80,0.0,3.59,,,,,0
29225,153,147,1.0,3.59,,,,,0
29396,154,171,4.0,3.62,,,,,0
29499,155,103,2.0,3.6,,,,,0
