env_step,episode,ep_len,episodic_return,avg_return_100,q1_loss_ep_mean,q2_loss_ep_mean,actor_loss_ep_mean,alpha_ep_mean,entropy_ep_mean,updates_in_episode
152,1,152,4.0,4.0,,,,,,0
528,2,376,12.0,8.0,,,,,,0
664,3,136,0.0,5.333333333333333,,,,,,0
1002,4,338,4.0,5.0,,,,,,0
1153,5,151,2.0,4.4,,,,,,0
1349,6,196,3.0,4.166666666666667,,,,,,0
1529,7,180,3.0,4.0,,,,,,0
1684,8,155,5.0,4.125,,,,,,0
1866,9,182,8.0,4.555555555555555,,,,,,0
2002,10,136,2.0,4.3,,,,,,0
2196,11,194,4.0,4.2727272727272725,,,,,,0
2366,12,170,1.0,4.0,,,,,,0
2757,13,391,10.0,4.461538461538462,,,,,,0
2916,14,159,2.0,4.285714285714286,,,,,,0
3063,15,147,0.0,4.0,,,,,,0
3317,16,254,7.0,4.1875,,,,,,0
3454,17,137,0.0,3.9411764705882355,,,,,,0
3694,18,240,3.0,3.888888888888889,,,,,,0
3834,19,140,4.0,3.8947368421052633,,,,,,0
3996,20,162,3.0,3.85,,,,,,0
4122,21,126,0.0,3.6666666666666665,,,,,,0
4264,22,142,1.0,3.5454545454545454,,,,,,0
4445,23,181,2.0,3.4782608695652173,,,,,,0
4608,24,163,1.0,3.375,,,,,,0
4824,25,216,5.0,3.44,,,,,,0
5012,26,188,6.0,3.5384615384615383,,,,,,0
5254,27,242,6.0,3.6296296296296298,,,,,,0
5411,28,157,3.0,3.607142857142857,,,,,,0
5662,29,251,8.0,3.7586206896551726,,,,,,0
6331,30,669,13.0,4.066666666666666,,,,,,0
6522,31,191,4.0,4.064516129032258,,,,,,0
6685,32,163,2.0,4.0,,,,,,0
6834,33,149,2.0,3.9393939393939394,,,,,,0
7031,34,197,6.0,4.0,,,,,,0
7179,35,148,4.0,4.0,,,,,,0
7321,36,142,1.0,3.9166666666666665,,,,,,0
7474,37,153,3.0,3.891891891891892,,,,,,0
7773,38,299,6.0,3.9473684210526314,,,,,,0
7919,39,146,3.0,3.923076923076923,,,,,,0
8068,40,149,1.0,3.85,,,,,,0
8247,41,179,6.0,3.902439024390244,,,,,,0
8479,42,232,4.0,3.9047619047619047,,,,,,0
8769,43,290,6.0,3.953488372093023,,,,,,0
8934,44,165,3.0,3.9318181818181817,,,,,,0
9098,45,164,2.0,3.888888888888889,,,,,,0
9241,46,143,1.0,3.8260869565217392,,,,,,0
9444,47,203,2.0,3.7872340425531914,,,,,,0
9603,48,159,4.0,3.7916666666666665,,,,,,0
9901,49,298,7.0,3.857142857142857,,,,,,0
10161,50,260,6.0,3.9,,,,,,0
10339,51,178,5.0,3.9215686274509802,,,,,,0
10546,52,207,7.0,3.980769230769231,,,,,,0
10695,53,149,5.0,4.0,,,,,,0
11077,54,382,10.0,4.111111111111111,,,,,,0
11227,55,150,4.0,4.109090909090909,,,,,,0
11371,56,144,2.0,4.071428571428571,,,,,,0
11605,57,234,5.0,4.087719298245614,,,,,,0
11762,58,157,1.0,4.0344827586206895,,,,,,0
11879,59,117,1.0,3.983050847457627,,,,,,0
12026,60,147,4.0,3.9833333333333334,,,,,,0
12210,61,184,4.0,3.9836065573770494,,,,,,0
12410,62,200,3.0,3.967741935483871,,,,,,0
12549,63,139,2.0,3.9365079365079363,,,,,,0
12729,64,180,7.0,3.984375,,,,,,0
12921,65,192,5.0,4.0,,,,,,0
13031,66,110,0.0,3.9393939393939394,,,,,,0
13177,67,146,2.0,3.91044776119403,,,,,,0
13386,68,209,3.0,3.8970588235294117,,,,,,0
13545,69,159,0.0,3.8405797101449277,,,,,,0
13785,70,240,7.0,3.8857142857142857,,,,,,0
13932,71,147,1.0,3.8450704225352115,,,,,,0
14083,72,151,3.0,3.8333333333333335,,,,,,0
14270,73,187,5.0,3.8493150684931505,,,,,,0
14421,74,151,1.0,3.810810810810811,,,,,,0
14558,75,137,3.0,3.8,,,,,,0
14820,76,262,7.0,3.8421052631578947,,,,,,0
15011,77,191,6.0,3.8701298701298703,,,,,,0
15166,78,155,4.0,3.871794871794872,,,,,,0
15496,79,330,9.0,3.9367088607594938,,,,,,0
15580,80,84,0.0,3.8875,,,,,,0
15773,81,193,5.0,3.9012345679012346,,,,,,0
15924,82,151,4.0,3.902439024390244,,,,,,0
16076,83,152,1.0,3.8674698795180724,,,,,,0
16273,84,197,4.0,3.869047619047619,,,,,,0
16430,85,157,4.0,3.8705882352941177,,,,,,0
16723,86,293,7.0,3.9069767441860463,,,,,,0
16881,87,158,2.0,3.8850574712643677,,,,,,0
17127,88,246,8.0,3.9318181818181817,,,,,,0
17292,89,165,1.0,3.898876404494382,,,,,,0
17564,90,272,7.0,3.933333333333333,,,,,,0
17906,91,342,8.0,3.978021978021978,,,,,,0
18085,92,179,4.0,3.9782608695652173,,,,,,0
18275,93,190,6.0,4.0,,,,,,0
18569,94,294,11.0,4.074468085106383,,,,,,0
18721,95,152,1.0,4.042105263157895,,,,,,0
18879,96,158,5.0,4.052083333333333,,,,,,0
19066,97,187,2.0,4.030927835051546,,,,,,0
19211,98,145,2.0,4.010204081632653,,,,,,0
19353,99,142,2.0,3.98989898989899,,,,,,0
19552,100,199,2.0,3.97,,,,,,0
19765,101,213,9.0,4.02,,,,,,0
19953,102,188,6.0,3.96,,,,,,0
20293,103,340,6.0,4.02,,,,,,0
20435,104,142,4.0,4.02,,,,,,0
20836,105,401,10.0,4.1,,,,,,0
20955,106,119,0.0,4.07,,,,,,0
21103,107,148,2.0,4.06,,,,,,0
21442,108,339,8.0,4.09,,,,,,0
21603,109,161,4.0,4.05,,,,,,0
21748,110,145,1.0,4.04,,,,,,0
21926,111,178,5.0,4.05,,,,,,0
22099,112,173,5.0,4.09,,,,,,0
22209,113,110,2.0,4.01,,,,,,0
22365,114,156,4.0,4.03,,,,,,0
22600,115,235,9.0,4.12,,,,,,0
22756,116,156,3.0,4.08,,,,,,0
22921,117,165,4.0,4.12,,,,,,0
23073,118,152,2.0,4.11,,,,,,0
23291,119,218,5.0,4.12,,,,,,0
23867,120,576,11.0,4.2,,,,,,0
24026,121,159,4.0,4.24,,,,,,0
24195,122,169,3.0,4.26,,,,,,0
24341,123,146,1.0,4.25,,,,,,0
24566,124,225,7.0,4.31,,,,,,0
24654,125,88,1.0,4.27,,,,,,0
25317,126,663,18.0,4.39,,,,,,0
25453,127,136,2.0,4.35,,,,,,0
25592,128,139,2.0,4.34,,,,,,0
25768,129,176,5.0,4.31,,,,,,0
25929,130,161,4.0,4.22,,,,,,0
26683,131,754,20.0,4.38,,,,,,0
26840,132,157,4.0,4.4,,,,,,0
26992,133,152,0.0,4.38,,,,,,0
27373,134,381,11.0,4.43,,,,,,0
27533,135,160,6.0,4.45,,,,,,0
27747,136,214,6.0,4.5,,,,,,0
27963,137,216,6.0,4.53,,,,,,0
28105,138,142,4.0,4.51,,,,,,0
28305,139,200,6.0,4.54,,,,,,0
28509,140,204,4.0,4.57,,,,,,0
28659,141,150,2.0,4.53,,,,,,0
28916,142,257,2.0,4.51,,,,,,0
29084,143,168,4.0,4.49,,,,,,0
29476,144,392,11.0,4.57,,,,,,0
29638,145,162,6.0,4.61,,,,,,0
29790,146,152,4.0,4.64,,,,,,0
30062,147,272,7.0,4.69,,,,,,0
30374,148,312,5.0,4.7,,,,,,0
30523,149,149,1.0,4.64,,,,,,0
30799,150,276,8.0,4.66,,,,,,0
30976,151,177,5.0,4.66,,,,,,0
31255,152,279,8.0,4.67,,,,,,0
31425,153,170,4.0,4.66,,,,,,0
31591,154,166,3.0,4.59,,,,,,0
31774,155,183,1.0,4.56,,,,,,0
31949,156,175,2.0,4.56,,,,,,0
32107,157,158,3.0,4.54,,,,,,0
32280,158,173,1.0,4.54,,,,,,0
32575,159,295,6.0,4.59,,,,,,0
32722,160,147,5.0,4.6,,,,,,0
32999,161,277,6.0,4.62,,,,,,0
33203,162,204,6.0,4.65,,,,,,0
33484,163,281,7.0,4.7,,,,,,0
33646,164,162,3.0,4.66,,,,,,0
33787,165,141,0.0,4.61,,,,,,0
34049,166,262,6.0,4.67,,,,,,0
34214,167,165,2.0,4.67,,,,,,0
34393,168,179,5.0,4.69,,,,,,0
34961,169,568,17.0,4.86,,,,,,0
35123,170,162,2.0,4.81,,,,,,0
35274,171,151,4.0,4.84,,,,,,0
35412,172,138,1.0,4.82,,,,,,0
35560,173,148,2.0,4.79,,,,,,0
35749,174,189,7.0,4.85,,,,,,0
35881,175,132,4.0,4.86,,,,,,0
36218,176,337,3.0,4.82,,,,,,0
36425,177,207,4.0,4.8,,,,,,0
36900,178,475,11.0,4.87,,,,,,0
37118,179,218,4.0,4.82,,,,,,0
37284,180,166,5.0,4.87,,,,,,0
37636,181,352,8.0,4.9,,,,,,0
37790,182,154,3.0,4.89,,,,,,0
38048,183,258,7.0,4.95,,,,,,0
38178,184,130,0.0,4.91,,,,,,0
38431,185,253,5.0,4.92,,,,,,0
38589,186,158,2.0,4.87,,,,,,0
38767,187,178,2.0,4.87,,,,,,0
38948,188,181,5.0,4.84,,,,,,0
39097,189,149,2.0,4.85,,,,,,0
39278,190,181,4.0,4.82,,,,,,0
39482,191,204,5.0,4.79,,,,,,0
39689,192,207,5.0,4.8,,,,,,0
39833,193,144,0.0,4.74,,,,,,0
39934,194,101,0.0,4.63,,,,,,0
40086,195,152,5.0,4.67,,,,,,0
40369,196,283,4.0,4.66,,,,,,0
40565,197,196,5.0,4.69,,,,,,0
40704,198,139,0.0,4.67,,,,,,0
41390,199,686,15.0,4.8,,,,,,0
41603,200,213,4.0,4.82,,,,,,0
41806,201,203,5.0,4.78,,,,,,0
42160,202,354,8.0,4.8,,,,,,0
42255,203,95,0.0,4.74,,,,,,0
42559,204,304,8.0,4.78,,,,,,0
42699,205,140,2.0,4.7,,,,,,0
42836,206,137,3.0,4.73,,,,,,0
42981,207,145,4.0,4.75,,,,,,0
43130,208,149,2.0,4.69,,,,,,0
43242,209,112,0.0,4.65,,,,,,0
43416,210,174,3.0,4.67,,,,,,0
43558,211,142,3.0,4.65,,,,,,0
43652,212,94,0.0,4.6,,,,,,0
44083,213,431,11.0,4.69,,,,,,0
44240,214,157,4.0,4.69,,,,,,0
44451,215,211,4.0,4.64,,,,,,0
44737,216,286,6.0,4.67,,,,,,0
44903,217,166,5.0,4.68,,,,,,0
45100,218,197,3.0,4.69,,,,,,0
45364,219,264,6.0,4.7,,,,,,0
45556,220,192,2.0,4.61,,,,,,0
45724,221,168,3.0,4.6,,,,,,0
45871,222,147,4.0,4.61,,,,,,0
46010,223,139,1.0,4.61,,,,,,0
46170,224,160,6.0,4.6,,,,,,0
46345,225,175,2.0,4.61,,,,,,0
46541,226,196,4.0,4.47,,,,,,0
46825,227,284,8.0,4.53,,,,,,0
47021,228,196,2.0,4.53,,,,,,0
47196,229,175,4.0,4.52,,,,,,0
47368,230,172,2.0,4.5,,,,,,0
47531,231,163,2.0,4.32,,,,,,0
47730,232,199,5.0,4.33,,,,,,0
47905,233,175,5.0,4.38,,,,,,0
48048,234,143,4.0,4.31,,,,,,0
48217,235,169,3.0,4.28,,,,,,0
48417,236,200,2.0,4.24,,,,,,0
48603,237,186,4.0,4.22,,,,,,0
48751,238,148,4.0,4.22,,,,,,0
49161,239,410,7.0,4.23,,,,,,0
49466,240,305,6.0,4.25,,,,,,0
49693,241,227,6.0,4.29,,,,,,0
49838,242,145,3.0,4.3,,,,,,0
49989,243,151,2.0,4.28,,,,,,0
50194,244,205,4.0,4.21,0.057285104487380833,0.05569668468377442,-3.9968078321743508,0.9441208941331182,1.790970677538857,193
50340,245,146,0.0,4.15,0.02966018529506783,0.02967380316711146,-5.5741254989415,0.8524742048897155,1.7913072590982668,146
50500,246,160,5.0,4.16,0.03701561303169001,0.037153686385136095,-7.166009140014649,0.7777100324630737,1.7914469426046153,160
50676,247,176,4.0,4.13,0.04710160634501583,0.04729536969997836,-8.836832945997065,0.7031714106825265,1.7915265588407163,176
50904,248,228,6.0,4.14,0.0537544414115122,0.05409080572753099,-10.645048639230561,0.6230914004539189,1.7915813315614382,228
51573,249,669,23.0,4.36,0.07268467541437412,0.07248085928086877,-13.776326379077496,0.47890118272315224,1.7916511872797523,669
