episode,condition,return_sum,length
0,clean,600.0,924
1,clean,570.0,975
2,clean,540.0,947
3,clean,1080.0,1760
4,clean,935.0,1536
5,clean,600.0,939
6,clean,800.0,989
7,clean,600.0,982
8,clean,1405.0,1954
9,clean,1425.0,1645
10,clean,525.0,949
11,clean,750.0,1080
12,clean,1145.0,2036
13,clean,600.0,723
14,clean,1005.0,1048
15,clean,1260.0,1879
16,clean,545.0,1019
17,clean,575.0,884
18,clean,715.0,747
19,clean,570.0,959
20,clean,570.0,1098
21,clean,600.0,969
22,clean,605.0,872
23,clean,1145.0,1825
24,clean,1295.0,1664
25,clean,600.0,970
26,clean,575.0,1032
27,clean,600.0,838
28,clean,600.0,919
29,clean,800.0,993
0,random,605.0,877
1,random,1130.0,1971
2,random,775.0,1022
3,random,575.0,1029
4,random,545.0,692
5,random,605.0,835
6,random,575.0,1029
7,random,635.0,968
8,random,540.0,843
9,random,575.0,1118
10,random,495.0,748
11,random,600.0,1084
12,random,485.0,914
13,random,640.0,839
14,random,805.0,1574
15,random,600.0,969
16,random,600.0,972
17,random,600.0,899
18,random,495.0,752
19,random,445.0,686
20,random,500.0,1078
21,random,395.0,686
22,random,600.0,1061
23,random,455.0,916
24,random,600.0,931
25,random,600.0,881
26,random,605.0,857
27,random,1540.0,1735
28,random,600.0,911
29,random,575.0,782
